src,dest,pathway
3125,917,R-HSA-202430
3125,3113,R-HSA-202430
3125,919,R-HSA-202430
3125,7535,R-HSA-202430
3127,920,R-HSA-202430
3127,3122,R-HSA-202430
3127,3118,R-HSA-202430
3127,3117,R-HSA-202430
3127,915,R-HSA-202430
3127,3932,R-HSA-202430
3127,916,R-HSA-202430
3127,917,R-HSA-202430
3127,3113,R-HSA-202430
3127,919,R-HSA-202430
3127,7535,R-HSA-202430
26191,920,R-HSA-202430
26191,3122,R-HSA-202430
26191,3118,R-HSA-202430
26191,3117,R-HSA-202430
26191,3123,R-HSA-202430
26191,3119,R-HSA-202430
26191,915,R-HSA-202430
26191,3115,R-HSA-202430
26191,3120,R-HSA-202430
26191,3932,R-HSA-202430
26191,916,R-HSA-202430
26191,917,R-HSA-202430
26191,3126,R-HSA-202430
26191,3113,R-HSA-202430
26191,919,R-HSA-202430
26191,7535,R-HSA-202430
26191,3125,R-HSA-202430
26191,3127,R-HSA-202430
6446,6722,R-HSA-187037
6446,1385,R-HSA-187037
5296,4803,R-HSA-187037
5296,4914,R-HSA-187037
5296,3667,R-HSA-187037
5296,5291,R-HSA-187037
5296,8660,R-HSA-187037
5603,6714,R-HSA-187037
5603,5600,R-HSA-187037
5603,1432,R-HSA-187037
9252,1385,R-HSA-187037
9252,466,R-HSA-187037
161,4803,R-HSA-187037
161,4914,R-HSA-187037
161,1211,R-HSA-187037
161,1175,R-HSA-187037
161,163,R-HSA-187037
161,1213,R-HSA-187037
161,1173,R-HSA-187037
160,4803,R-HSA-187037
160,4914,R-HSA-187037
160,1211,R-HSA-187037
160,1175,R-HSA-187037
160,163,R-HSA-187037
160,1213,R-HSA-187037
160,1173,R-HSA-187037
10126,161,R-HSA-187037
10126,160,R-HSA-187037
10126,4803,R-HSA-187037
10126,4914,R-HSA-187037
10126,1211,R-HSA-187037
10126,1175,R-HSA-187037
10126,163,R-HSA-187037
10126,1213,R-HSA-187037
10126,1173,R-HSA-187037
10126,6456,R-HSA-187037
2353,3727,R-HSA-187037
2353,23237,R-HSA-187037
4893,5898,R-HSA-187037
4893,5899,R-HSA-187037
4893,5900,R-HSA-187037
3265,5898,R-HSA-187037
3265,5899,R-HSA-187037
3265,5900,R-HSA-187037
3845,5898,R-HSA-187037
3845,5899,R-HSA-187037
3845,5900,R-HSA-187037
4803,4914,R-HSA-187037
4803,6774,R-HSA-187037
4803,1399,R-HSA-187037
4803,5906,R-HSA-187037
4803,25759,R-HSA-187037
4803,2889,R-HSA-187037
