src,dest,score
326,27124,0.004668835684743
326,677809,0.0036471446439812
326,338398,0.0033973278099882
326,10965,0.0019704436605154
326,147409,0.0022097294558868
326,4776,0.0032637163709302
326,26188,0.0033657907256983
326,727940,0.0018821434626252
326,6898,0.0019803159597981
326,9407,0.0015961969719859
367,10768,0.0137350994111321
367,221687,0.0083693980921178
367,65975,0.0140824014352743
367,367,0.005259627940868358
367,54897,0.0118971689424869
367,56,0.0080297000265188
367,116449,0.0173669072269887
367,754,0.0162243810764269
367,395,0.0109969538557739
367,84894,0.0144935898320422
367,151888,0.0088531709423063
367,340267,0.0088275122357912
367,1411,0.0046720195670904
367,4921,0.0072976549224468
367,7802,0.0177600823495589
367,85440,0.0153250967528817
367,1842,0.0170460219052478
367,1945,0.0127885068024773
367,118460,0.0083380649667021
367,54900,0.0070860820194242
367,79858,0.0148668690465033
367,54477,0.01071639992518
367,10647,0.0096086117058434
367,6575,0.0110719073953703
367,6788,0.0178535339686782
367,9865,0.0112555901423052
367,677,0.0118824198297673
405,11016,0.0064227014556898
405,538,0.0058954903665737
405,571,0.005692758254327
405,3482,0.0073966496629003
405,10015,0.0054269171168141
405,23469,0.0103561866252519
405,11276,0.0056170082773412
405,64786,0.0060194533922549
405,9898,0.009750953318182
405,23503,0.0064226039729857
405,604,0.0046823485737436
405,153241,0.0041706546030177
405,57530,0.0039831759277515
405,1184,0.0028618482570538
405,96459,0.0051557499405319
405,3069,0.0024376039267395
405,80306,0.0037163338115226
405,8394,0.0046049305963663
405,54882,0.0132179094756693
405,2117,0.0076458477858069
405,81545,0.006641396330801
405,113510,0.0083347795718621
405,57502,0.0051499786449265
405,23304,0.007251195386738
405,84614,0.0063503060829622
405,23473,0.0040189762057978
405,1730,0.002995655363789
405,4091,0.0037098054784665
405,79683,0.0027095135357101
405,80709,0.0032546455541125
405,83478,0.0029263206635398
405,11176,0.0070018743681958
405,120935,0.0025397224518021
405,23268,0.005701556511479
405,2585,0.0024740649269724
405,10007,0.0021041125302469
405,26512,0.0031104626625823
405,81618,0.0025349999027587
405,79929,0.002113753080829
405,1432,0.0055155860617462
405,9683,0.0112189680572911
405,219988,0.0064778277165518
405,9842,0.010984845692663
405,84932,0.0031716755325548
405,84631,0.0040139663584295
405,6777,0.0155742550195372
405,387082,0.0026445565904566
405,55254,0.0072950150851782
405,10308,0.0053811868930787
405,51385,0.0034801960160311
405,201501,0.0019096211459614
405,51,0.0012803685262422
405,51566,0.0028455200491385
405,1388,0.0016808140936696
405,56648,0.0011314045104793
405,22862,0.0012344264372698
405,11234,0.003845961678476
405,29982,0.0010317806945385
405,23511,0.0031869474257815
405,80012,0.0041145135897094
405,10623,0.0018046389615453
405,7879,0.0012004478279414
405,5916,0.0013246744101997
405,11196,0.002658868847534
405,22928,0.0013768938137118
405,23411,0.0019295313050765
405,22865,0.001402488185448
405,6745,0.0015236593750409
405,1200,0.0014958847085786
405,55585,0.0010827005429884
405,65986,0.0020533829839714
405,9923,0.0013331749861701
405,9815,0.0016945582962933
405,29915,0.0016303727183823
405,51274,0.0015150788094913
405,51230,0.001044881559486
405,7706,0.0013866669701226
405,607,0.0021101542367848
405,55885,0.0011949512461069
405,5454,0.00299905181816
405,29942,0.0016833198377203
405,26959,0.0028134486435361
405,987,0.0010340116504474
405,93145,0.001093126203961
405,23135,0.0077646402592007
405,79577,0.0011448496315329
405,1196,0.0014286322759473
405,9377,0.0011549430659818
405,200186,0.002827656819696
405,1421,0.0021105966269722
405,1997,0.0015127681150282
405,8178,0.0012265587123172
405,58494,0.0012260336080278
405,5033,0.0020832061257648
405,55824,0.0024783075493598
405,54439,0.0016795939541551
405,3516,0.0011209015538745
405,10734,0.0016523205097654
405,3703,0.0011341268363188
405,256130,0.0015030710507112
405,144110,0.0012049787035898
405,171017,0.0035430302011414
430,924,0.0184845881896113
430,2203,0.0168492532366879
430,79792,0.0150457866251877
430,23129,0.0082650906902622
430,286336,0.0164538730736683
430,3663,0.0170261236873692
430,5031,0.0163477521811085
430,6813,0.0180211436285927
430,7136,0.0172314383485075
466,121536,0.0130219751838777
466,466,0.005259627940868358
466,29080,0.0060826377939271
466,51550,0.0070717586071835
466,2987,0.006381816981117
466,84631,0.005414828676217
466,64786,0.0064460190499733
466,27309,0.0104514229474009
466,10881,0.0028705332517765
466,322,0.0015023011646742
466,604,0.0015281725627646
466,7832,0.0035706724571249
466,57415,0.0011312309632794
466,56951,0.0015187846180313
466,166979,0.0018077227948912
466,153241,0.0010725840687759
466,493856,0.0010531958879226
466,1184,0.0022984467625881
466,64764,0.001465754846562
466,348180,0.0010698652002561
466,54883,0.0010547065928553
466,26330,0.0014436956611563
466,2669,0.0011131827248989
466,2775,0.0038306746482737
466,64083,0.0015273031769829
466,2824,0.0014399452614121
466,11234,0.0013684995741966
466,149233,0.0029739262356721
466,3872,0.0010987990438694
466,51574,0.0010895018445748
466,84557,0.0015520188252572
466,8079,0.0010048038718679
466,8013,0.001139940835392
466,79873,0.0010034321689494
466,93145,0.0015808689325671
466,51633,0.0012779735564452
466,54704,0.0011757746485234
466,85313,0.0010929208299042
466,5526,0.0014723239742013
466,55188,0.0032131977317976
466,55681,0.001084415952801
466,6449,0.0018190644131007
466,10285,0.0039285614799013
466,83930,0.0020432778660512
466,3703,0.0013402297141564
466,130612,0.0012131941756516
466,55254,0.0049705766804437
466,7143,0.001458366929099
466,7280,0.0013127860875787
466,347733,0.0013060217939481
466,114131,0.0012165706338688
466,286046,0.0014727144161105
466,8446,0.0083113635149965
466,27333,0.0089592557150199
466,54822,0.0012183885879762
466,3831,0.0013945620814349
466,124925,0.0014454942626632
466,256472,0.0017607629934556
466,221336,0.0044543797215565
466,55885,0.0015492341345122
466,23209,0.0015326729413085
